user_id,ll_personalized_poisson,ll_experimental_1_hawkes,test_purchases
17775,-12.393591135488546,-11.54449311880027,3.0
17838,-2.3924885456149223,-2.160332955149506,0.0
17863,-8.740436560727746,-8.667315948746568,2.0
17920,-23.40393327332484,-21.112938205862708,2.0
17932,-7.9875274753965595,-7.508861381660259,1.0
17991,-21.71605077828469,-21.4723552267,7.0
18119,-42.350096079065075,-43.625343919743194,13.0
18187,-15.309123321932631,-15.513409560225012,4.0
18267,-10.541363552401569,-10.80867822320665,2.0
18268,-25.601173281427954,-24.93275745402298,8.0
18345,-18.833985930531576,-19.00829011606886,5.0
18402,-12.337376985854991,-12.722215737161482,3.0
18519,-12.232208060013074,-12.901890786283941,3.0
18566,-11.681267254360417,-11.89163652421996,3.0
18853,-52.562176581930046,-51.69156172118698,18.0
18929,-4.2147836948157416,-3.5068921201834424,0.0
18945,-41.20483326338436,-41.331043049491875,12.0
19029,-29.047306673680204,-27.623252920506644,7.0
19200,-31.874611055807897,-32.39654194164013,11.0
19260,-5.010196454677137,-5.03778971302206,1.0
19277,-14.994362296504672,-15.412335028193882,4.0
19293,-30.641397287664116,-30.619583401226198,12.0
19325,-335.1331673509709,-273.9098678033807,108.0
19532,-46.27692502574474,-46.348310860805604,16.0
19687,-17.806581982551872,-16.669797208908566,5.0
19734,-10.874869831347851,-10.609404540568915,2.0
19792,-4.929054647377197,-5.0778921221287145,1.0
19814,-20.080868829221398,-20.608123760793358,6.0
19905,-8.510386927810512,-7.622145802562416,2.0
20014,-14.575432238263348,-12.998124782396424,3.0
20026,-28.396676535755905,-29.79167000810051,7.0
20107,-23.894151080050406,-22.299418707575224,6.0
20293,-33.99682963594414,-31.747658519428505,9.0
20416,-14.528400621468371,-13.963846952329272,4.0
20426,-24.307795181591,-24.88621561115037,7.0
20473,-5.4296471276162865,-4.623052167049461,0.0
20569,-1.177625112814377,-1.232697588993874,0.0
20598,-119.35471205888616,-121.17142641731682,58.0
20768,-14.23740701542024,-11.902957597786987,0.0
20776,-20.336440831319642,-21.029593258967882,6.0
20888,-10.2002725185414,-10.344066063564254,2.0
20971,-44.51333041144796,-45.319713788842,16.0
20981,-9.031574941394886,-8.883413334013664,2.0
21033,-25.011252369478825,-24.45429301222566,8.0
21056,-0.2788113642509729,-0.2303456911123479,0.0
21277,-12.36906266177575,-12.259749500946743,3.0
21339,-70.29391900085683,-70.04391546495019,15.0
21403,-5.083147690892124,-5.664972059314208,1.0
21455,-18.762153206722832,-18.55036494655993,5.0
21600,-31.844268389919037,-32.38652571423567,12.0
21659,-19.065572322286076,-19.05711076152699,6.0
21720,-27.747425665060803,-25.653639672859143,8.0
21817,-11.866117156610507,-10.528264023421784,1.0
21867,-8.967099111149569,-8.968033619731463,2.0
22023,-42.79495228380413,-42.52763648631354,17.0
22033,-11.550677573774461,-11.790816187368348,3.0
22044,-1.177625112814377,-1.1030759283323415,0.0
22072,-28.14481149120515,-28.033561894186327,9.0
22188,-67.30964390976341,-65.13824024503468,27.0
22226,-68.40878773211944,-64.37022580845054,23.0
22235,-15.151983915214347,-14.291261709154439,3.0
22348,-0.8739092546142408,-0.9365976113462426,0.0
22349,-9.250781286910403,-9.543958885020228,2.0
22385,-12.742395908073235,-13.235443317019874,3.0
22399,-13.12871510908697,-13.590714467845743,3.0
22697,-9.874721977067855,-9.940892610299997,2.0
23053,-4.034846149808562,-3.5044374287900775,0.0
23067,-5.819708320088983,-5.642332116942202,1.0
23134,-4.518499553015877,-4.470985914227096,0.0
23250,-8.174543201224175,-7.9017078045675735,1.0
23558,-22.878146465581814,-22.340797077905474,7.0
23666,-5.00590081011509,-4.989158309813753,1.0
23704,-29.78571747064507,-29.944949601290258,10.0
23867,-41.704358920806854,-40.1669037244784,17.0
23932,-8.554771887628878,-8.539896176936947,2.0
24045,-8.68906572637555,-9.505335670752507,2.0
24092,-32.90185211739077,-32.417492190533174,11.0
24289,-1.4813409710145136,-1.7158719576885229,0.0
24426,-1.177625112814377,-1.072194532793214,0.0
