user_id,ll_personalized_poisson,ll_experimental_1_hawkes,test_purchases,ll_user_scale_hawkes
665239,-68.64833422002995,-61.130192001572794,23.0,-62.06973865570981
665377,-8.586703708999659,-8.87030138873418,2.0,-8.869876398509495
665455,-52.506894726211854,-50.91460269618136,15.0,-51.61242671530576
665495,-39.22134935575188,-35.95173003195941,8.0,-39.78250128705496
665586,-6.037078844016559,-5.163398784591881,0.0,-5.154049590702891
665636,-19.824956617371747,-20.50208535472693,5.0,-20.482451508642143
665710,-21.343045719053755,-21.72311382397389,6.0,-21.94831478009647
665764,-13.076115922634369,-12.34691512619734,3.0,-12.506662633306826
665803,-16.94912450676075,-17.746550854631035,3.0,-84.99312293267859
666018,-6.109079160391221,-5.8605650737896395,1.0,-6.0457778172702366
666125,-1.4813409710145136,-1.2240081329659716,0.0,-0.5613347652982713
666275,-16.42604865921996,-15.542880492511348,3.0,-14.87211130759732
666326,-8.224904697450103,-7.477985399098014,1.0,-7.8286413193203215
666340,-12.614088782570605,-12.625997171083764,3.0,-12.682724561249806
666356,-60.77759966694925,-58.321444541859506,10.0,-71.06179366030199
666468,-25.88609061228387,-25.861735146746827,9.0,-25.974211887373517
666658,-14.913346043632089,-14.88425866532505,4.0,-14.888651294502727
666679,-9.130481417586305,-9.518887586185022,2.0,-9.50201458809296
666696,-67.09783665129986,-65.20087472467445,26.0,-65.06478758194575
666772,-124.80338985069984,-123.5324911133482,62.0,-126.24939713720744
666882,-5.865787219394465,-5.552382037015949,1.0,-4.836564529574565
667048,-2.3924885456149223,-2.3446788409014725,0.0,-2.154486702045588
667098,-5.556330717116852,-5.479507074773581,1.0,-5.524679328603922
667338,-11.521567899295238,-11.243486481361872,2.0,-10.845601192697584
667342,-3.412617812689639,-2.8982123786373277,0.0,-2.94699756268922
667450,-13.903616911773844,-14.058277438916482,3.0,-14.108065391092197
667477,-75.02845272616001,-77.48069420089573,31.0,-76.73204226088781
667580,-1.8024345770420176,-1.6865372648564712,0.0,-1.7506383002714916
667593,-12.901846185629266,-13.352801952052255,3.0,-12.280021789327035
667598,-5.222210932885856,-5.370099479440155,1.0,-5.2367325419602455
667600,-15.006963635171417,-15.877668111891154,4.0,-15.864137060403952
667664,-24.606808265816532,-25.042011391250348,8.0,-25.04652261776145
667693,-35.830829483801054,-33.379900929453356,10.0,-33.99141992500131
667765,-5.893110044514212,-5.730989512787343,1.0,-5.675453702759698
667798,-8.646225817393189,-9.076325359419586,2.0,-9.573889920201973
667875,-7.222761572415598,-6.762641977669206,1.0,-6.428241248570284
667902,-4.518499553015877,-3.8331911722299634,0.0,-3.893593714134972
668075,-18.174074804230845,-18.30102797890215,5.0,-18.553437265719595
668100,-43.95834558570414,-44.14830798803966,17.0,-44.08197925062258
668146,-5.36880038031874,-5.386415169917927,1.0,-5.293477610196266
668154,-20.670037221883053,-15.46876828794225,4.0,-15.575877276002538
668284,-5.674841495768565,-5.588664965856504,1.0,-5.07140643371322
668287,-5.578931752454721,-5.8454003965289845,1.0,-18.30202594055423
668314,-1.8993620717143935,-1.6165334525785542,0.0,-1.3991073374026088
668418,-39.27029662820938,-37.99808668416223,14.0,-39.222118626778254
668550,-8.550658386780363,-8.725047294157159,2.0,-8.732713425266772
668577,-32.09768716072975,-32.301536721639586,11.0,-32.29749322355395
668944,-43.360028800480414,-42.39205644686623,16.0,-43.129923125396616
668953,-9.237671875532268,-9.068408782673105,2.0,-9.037881802545604
668955,-1.7850568292146498,-1.54547975049518,0.0,-1.2258435006673856
668958,-30.297542894640085,-30.673716858078087,7.0,-31.58474293821173
669196,-2.7712957305303125,-2.3439157704045077,0.0,-2.2191398626845897
669282,-9.15314476033952,-6.64197567994903,2.0,-6.3931336862354655
669321,-13.298591639485462,-12.79150401343828,3.0,-13.05238041405253
669397,-15.022640900893885,-15.280573932225582,4.0,-15.28493233403449
669699,-55.439584281645566,-52.44863502592225,22.0,-52.47471295025627
669852,-2.696204403815059,-2.2794086242945766,0.0,-2.1574197429720483
669860,-11.702877276708584,-12.103472578599796,3.0,-12.129313531447885
669888,-18.77284338917369,-18.2971032940162,5.0,-18.47842855714634
670113,-7.048915528996363,-6.708777935976324,1.0,-6.963899486898813
670415,-2.3924885456149223,-2.013415764066812,0.0,-1.6422164866452924
670426,-25.67309826121008,-25.190179954000524,7.0,-25.38606809053331
670455,-57.42037296447959,-57.14706537556914,20.0,-57.02245225037784
670468,-94.5094519467408,-91.40672446260956,46.0,-90.78292690929544
670598,-39.303643927275274,-40.06063523891794,15.0,-39.899599887408435
670635,-15.341817104621043,-15.486257811293047,4.0,-15.49824904106032
670653,-8.63421607814485,-9.263646390251566,2.0,-9.430832661605068
670683,-24.09196819643995,-24.19434449912801,8.0,-24.135045812834655
671045,-5.908555097666455,-5.807911611691205,1.0,-5.4427009958095045
671253,-8.435894516947826,-8.730244449510653,2.0,-8.762285000779496
671384,-5.232216194642282,-5.2467484163041815,1.0,-5.227870346761814
671415,-5.482500068295355,-5.361101182972259,1.0,-5.380638475018394
671504,-21.411531876112143,-18.572370484638668,4.0,-20.06667800428413
671619,-5.560380130740482,-5.466127469784874,1.0,-5.898289623453059
671634,-64.06222466918935,-64.43584957108956,34.0,-64.4988527039329
671728,-8.577613596556628,-8.491241755161074,2.0,-8.42398172877814
671740,-1.7850568292146498,-1.92038983268763,0.0,-1.1376134506361646
671778,-44.46388769511304,-46.11441047153618,15.0,-46.05329659788646
671868,-1.7850568292146498,-1.5349167844238545,0.0,-0.0605660343587207
671912,-9.634621058649111,-9.47252461523468,2.0,-11.854653281426318
671934,-52.45989522152176,-42.97452701094576,16.0,-43.23219449025696
672100,-1.7850568292146498,-1.5422344613656436,0.0,-0.8058209561688385
672165,-30.080991695240535,-28.68161918044977,7.0,-28.67130074164619
672184,-19.137548931244197,-18.495181140546578,5.0,-18.765418312428963
672322,-8.448039477437037,-8.18898408389666,2.0,-8.198994278010598
672434,-8.561135920259632,-8.711966305705465,2.0,-8.765084757397572
672471,-2.696204403815059,-2.267760773064057,0.0,-2.137920086014522
672494,-10.129998882527472,-10.62749085243769,2.0,-11.283464225158818
672677,-15.033062372530004,-15.314520626151252,4.0,-15.566936684823927
672681,-154.61368667972278,-149.72141587888478,60.0,-148.70652213384682
672853,-11.575313170209936,-11.967908826627024,3.0,-11.958917258407476
672865,-8.574003780102759,-8.79084116323041,2.0,-8.921610888267528
672878,-6.0799045748766325,-5.870862860235287,1.0,-5.769498756659745
673006,-35.41166125931986,-35.80030372883835,10.0,-35.681675713526836
673136,-2.3924885456149223,-2.2308845541454696,0.0,-1.4212599823439052
673142,-8.903483953736522,-8.650917268007863,2.0,-8.787164956185029
