user_id,ll_personalized_poisson,ll_global_scaled_hawkes,ll_user_scale_hawkes,test_purchases
348812,-2.088772687414786,-1.9034916198192657,-0.5241654787157577,0.0
348865,-23.86367302061076,-21.638844248072456,-23.500370411548378,5.0
348917,-4.934491975002863,-5.254399100857803,-5.316280914223087,1.0
348918,-30.224906014264537,-30.698507739042785,-31.106322984104597,9.0
348926,-29.424326220640832,-27.667787286624364,-27.626334045033193,8.0
348971,-3.607351978415468,-2.978585786543081,-3.4594246271863707,0.0
349127,-71.8030843342551,-70.73436029787447,-69.85595638868789,29.0
349179,-14.785662220012052,-14.613996321925415,-14.578042519748433,4.0
349289,-15.243430041540304,-14.847345088449433,-15.38418989453159,4.0
349583,-21.872880829268365,-17.76537727544032,-19.64261726192114,4.0
349587,-33.905515242323496,-32.73800422354581,-32.77485849840686,10.0
349631,-28.44899497018532,-29.676892141238753,-29.77106425750434,10.0
349647,-8.54009497738947,-8.667442271413327,-8.708356905528317,2.0
349730,-8.107014643018527,-7.979389507368126,-7.9756000592224305,2.0
349734,-14.193868722424636,-13.102027644928278,-14.428208034716066,3.0
349749,-18.07714141508683,-17.749690698836915,-17.747858390816166,5.0
349890,-23.251952213184772,-22.863923445312057,-22.994092683783318,6.0
350101,-1.7850568292146498,-1.634813410847085,-1.5264552164424334,0.0
350126,-9.204443463441963,-9.398624373986546,-9.424138590455474,2.0
350187,-8.773220992935354,-8.784660075234372,-9.125972695520645,2.0
350337,-177.4862536935613,-177.08549719967917,-173.61929652464667,100.0
350639,-5.733362985816423,-5.668386433511119,-6.091835485010117,0.0
350692,-15.819040449838306,-15.6025301704765,-15.87053430487231,4.0
350718,-11.802951679316699,-11.852575825878759,-11.898645442276337,3.0
350798,-66.32955541451408,-65.57238550201826,-64.98869511261326,28.0
350854,-48.15362944223209,-47.10152277393634,-47.18092514167054,14.0
350983,-11.495936874355287,-11.94742711879374,-12.157110422399343,3.0
351039,-10.833176072737466,-10.498339685233317,-10.998273415438314,2.0
351053,-11.713031214969549,-12.232876119832904,-12.108231381146188,3.0
351112,-24.093335835278783,-22.984686299251237,-23.990268603968875,6.0
351204,-9.498959854881743,-9.7137887293903,-10.153576317930778,2.0
351286,-38.15071929800169,-38.23558041236286,-38.24029356436749,15.0
351313,-4.94294944482254,-5.182531156663778,-5.278492761989107,1.0
351335,-21.24362034603466,-20.498198595016607,-20.578380550627713,7.0
351443,-13.039763406598198,-11.518590667287084,-11.794744794032054,3.0
351542,-5.0775714784285135,-5.099331762546877,-5.1987102782137145,1.0
351624,-16.20913258424497,-16.886391439110824,-16.889877775151877,4.0
351682,-49.77931230196223,-49.597826420112035,-49.380280626191976,17.0
351700,-35.41890204992913,-35.95935301261177,-35.564782263190814,12.0
351712,-8.586613349513598,-8.857402404595069,-8.917463312790442,2.0
351770,-8.605934386839255,-8.7912578774817,-8.852151127557542,2.0
351858,-107.16577222564729,-86.52663888164214,-89.66005765987903,26.0
351883,-2.3924885456149223,-2.594333711641012,-2.2694489880656157,0.0
351886,-43.68706389981708,-42.51171508839381,-43.17622089215717,17.0
351915,-2.088772687414786,-1.7049002985580068,-1.4296607889639288,0.0
352170,-40.72461084545701,-38.1940984142616,-38.4543761089096,11.0
352307,-90.88774956849578,-91.68019657581553,-90.45745198228965,41.0
