user_id,ll_personalized_poisson,ll_experimental_1_2_hawkes_hl1,test_purchases
29642,-2.6962044038150594,-2.332775830737402,0.0
29769,-16.902418780574155,-11.979415993553152,3.0
29896,-1.7850568292146498,-1.5356397866707705,0.0
29989,-33.94687249865725,-33.514518175582296,9.0
30072,-10.740347548619846,-9.92345494722141,1.0
30128,-32.41087352329377,-32.411376358179304,12.0
30244,-14.606779569185735,-13.87495964578037,4.0
30370,-4.950047410509845,-4.959237727658177,1.0
30375,-8.490769005737926,-8.896370157484407,2.0
30399,-0.8739092546142408,-0.7499824467734447,0.0
30427,-1.502448762216766,-1.3073531485739478,0.0
30586,-36.05137939319188,-32.433348035840346,12.0
30612,-20.309905040484995,-18.561945023496957,6.0
30945,-67.84132140389018,-66.57099823089334,23.0
30954,-0.8739092546142408,-0.9960421451207744,0.0
31047,-14.306135085969627,-13.811388504880846,3.0
31090,-51.760730200376756,-51.652414107060366,21.0
31207,-24.48392847555534,-23.88166937397876,7.0
31683,-17.872997611272826,-16.790913770928825,3.0
31877,-2.2899627757125125,-2.262939420048789,0.0
31890,-53.62036846809394,-55.24756939314991,16.0
31904,-40.66034936773553,-35.66419630915242,10.0
31909,-22.68741072301116,-22.361106071451008,6.0
32022,-77.4927670637429,-66.37637746563519,21.0
32091,-48.84549466280303,-48.18628870710502,21.0
32113,-7.951513385099649,-7.690512727788571,1.0
32224,-8.693065721674193,-8.802885150521394,2.0
32226,-22.82609542442976,-22.590945908886535,7.0
32235,-23.482862197139465,-22.90002909492222,7.0
32275,-5.077156046426035,-5.061273402047523,1.0
32319,-4.93068181403096,-4.85076463087903,1.0
32378,-33.10854305666204,-32.47993425211232,9.0
32517,-6.1549022829986,-6.193748670756638,1.0
32559,-30.61057387891353,-27.76827922049473,6.0
32644,-1.19970354560459,-1.1163140016943274,0.0
32765,-28.458753518851207,-29.014928928103885,8.0
32923,-29.685945211123894,-29.966132585272938,12.0
32957,-3.607351978415468,-3.61872573876278,0.0
33030,-9.004598091661554,-9.32203831678137,2.0
33266,-4.2147836948157416,-3.807882332114832,0.0
