user_id,ll_personalized_poisson,ll_e1,test_purchases,ll_e12
665157,-16.077101038099396,-15.415757582585556,3.0,-16.237462704514336
665182,-9.06477499959862,-9.363591842195682,2.0,-9.369015711151604
665204,-8.573874569646364,-8.77138939054684,2.0,-8.638290935211348
665239,-68.64833422002995,-60.92104405792195,23.0,-62.39365203885303
665377,-8.586703708999659,-8.887617824075274,2.0,-8.772005180617372
665455,-52.506894726211854,-50.831780596651214,15.0,-51.26195572117822
665495,-39.22134935575188,-35.682994892684064,8.0,-36.71925892616036
665586,-6.037078844016559,-5.128468736772222,0.0,-5.318826294525273
665636,-19.824956617371747,-20.495880748353887,5.0,-20.37790629558597
665710,-21.343045719053755,-21.72816411753656,6.0,-21.672241367868395
665764,-13.076115922634369,-12.375832739060952,3.0,-12.432629959599067
665803,-16.94912450676075,-17.782494355345893,3.0,-17.54662494911048
666018,-6.109079160391221,-5.872484392374634,1.0,-5.888939570100654
666125,-1.4813409710145136,-1.213147075550359,0.0,-1.2714462409094591
666275,-16.42604865921996,-15.52917549705882,3.0,-15.671446531523934
666326,-8.224904697450103,-7.44680178281649,1.0,-7.599938056425144
666340,-12.614088782570605,-12.62768142296969,3.0,-12.604504838683264
666356,-60.77759966694925,-58.01117338268352,10.0,-58.06047541699398
666468,-25.88609061228387,-25.85557220866101,9.0,-25.82026217621504
666658,-14.913346043632089,-14.88256403680546,4.0,-14.766357334390838
666679,-9.130481417586305,-9.512947898031564,2.0,-9.561482428407704
666696,-67.09783665129986,-65.14915185111515,26.0,-65.36709436099102
666772,-124.80338985069984,-123.43994805233882,62.0,-123.88616626754651
666882,-5.865787219394465,-5.541734483744757,1.0,-5.585877208051447
667048,-2.3924885456149223,-2.3307596925322636,0.0,-2.4272210754928834
667098,-5.556330717116852,-5.478905844041223,1.0,-5.489869815763774
667338,-11.521567899295238,-11.219194388634962,2.0,-11.384940055246044
667342,-3.412617812689639,-2.8759902299575133,0.0,-3.0074521266909313
667450,-13.903616911773844,-14.135654978264892,3.0,-13.978127024341578
667477,-75.02845272616001,-77.45893559697276,31.0,-77.48802748447558
667580,-1.8024345770420176,-1.6736242467996405,0.0,-1.748205312029714
667593,-12.901846185629266,-13.341690051277723,3.0,-13.422230482932571
