user_id,ll_personalized_poisson,ll_experimental_1_additive_hawkes,test_purchases
740826,-14.694627080328416,-14.005238274240943,4.0
740853,-20.121147863664444,-20.222229464173157,5.0
740935,-8.961761935611946,-9.014404786950802,2.0
740959,-6.902837561754316,-6.945672813297513,1.0
740999,-5.287580641896247,-5.336662586683036,1.0
741050,-15.169112744305359,-15.405307256420693,4.0
741369,-21.06084019168566,-21.12095552403006,6.0
741436,-12.150554811371864,-12.073542982440998,3.0
741482,-12.24907854016218,-12.49364597487267,3.0
741505,-20.383102533337276,-20.47260370832125,3.0
741563,-32.73079962565048,-32.76293816589774,12.0
741583,-1.4813409710145136,-1.488152708315429,0.0
741633,-5.040871994188457,-5.043699234839276,1.0
741970,-16.603011487366384,-14.110282912544326,5.0
741995,-5.130672695145089,-5.2347256102948245,1.0
742013,-19.788759622820542,-19.681383538486216,6.0
742060,-14.940696931061558,-15.05643643070833,4.0
742109,-1.177625112814377,-1.2692219380188046,0.0
742147,-11.73789867536182,-12.234855664419834,3.0
742249,-8.855970260776,-8.810944601703442,2.0
742258,-20.822915357379866,-21.067858728401596,3.0
742337,-12.111396008019288,-12.29067760992383,0.0
742357,-116.84149813917416,-106.94129912125874,58.0
742375,-2.3924885456149223,-2.44375189313767,0.0
742494,-23.610478924335577,-23.964231443757082,8.0
742783,-172.555108040755,-159.11285363781934,69.0
743052,-2.1656683065721833,-2.2844069650381167,0.0
743093,-18.70604948815678,-18.98346061772905,4.0
743148,-20.91321014791923,-20.97726361165608,7.0
743157,-30.236840480076943,-30.635271007376705,11.0
743206,-30.863552614527837,-31.238614945826082,10.0
743212,-12.53299825454186,-12.302565400287678,3.0
743331,-8.763107432280274,-8.858316191596694,2.0
743515,-15.29432574826888,-15.61367954414314,4.0
743546,-62.855468751505015,-63.636630217898364,25.0
743552,-5.2128271220326585,-5.264186721289848,1.0
743684,-247.79958975918333,-216.2592735728539,70.0
743803,-11.749132382430938,-11.7877530585357,3.0
743875,-1.7850568292146498,-1.8351082091492406,0.0
743878,-30.190469151144566,-30.353841417304995,10.0
744145,-3.3197232319213006,-3.370823150538838,0.0
744154,-20.983887766960464,-21.0570757111155,6.0
744191,-28.414103359842812,-28.55564426735735,7.0
744225,-5.0796376460582175,-5.286493937403598,1.0
744354,-25.380275998975474,-25.859859092917286,9.0
